component,explained_variance_ratio,cumulative_variance
1,0.5338361025195951,0.5338361025195951
2,0.13711507226769223,0.6709511747872874
3,0.09590212345073049,0.7668532982380178
4,0.0569383361085496,0.8237916343465674
5,0.03425509448822061,0.858046728834788
6,0.026554673226436877,0.884601402061225
7,0.020021046001826318,0.9046224480630513
8,0.017405138865650437,0.9220275869287017
9,0.013550980861700663,0.9355785677904024
10,0.010191323895260613,0.945769891685663
11,0.008172559923479369,0.9539424516091423
12,0.006669999879640752,0.960612451488783
13,0.005010550459612639,0.9656230019483957
14,0.00434433118440322,0.9699673331327989
15,0.003920683112931394,0.9738880162457303
16,0.0033556057686318645,0.9772436220143622
17,0.0031663957843412467,0.9804100177987034
18,0.0023242039734132705,0.9827342217721167
19,0.002075328675229955,0.9848095504473466
20,0.0019194548533608385,0.9867290053007075
21,0.0014981405389212896,0.9882271458396288
22,0.0011981856289189708,0.9894253314685477
23,0.0011454472124966249,0.9905707786810444
24,0.0009867562879054103,0.9915575349689498
25,0.0009179071421220417,0.9924754421110719
26,0.0007374850755860553,0.9932129271866579
27,0.0006715103550066522,0.9938844375416646
28,0.0006325066872640646,0.9945169442289287
29,0.0005617391320991145,0.9950786833610278
30,0.0004602522005474822,0.9955389355615752
31,0.0004423569247409284,0.9959812924863162
32,0.0003861289024818582,0.9963674213887981
33,0.00035993152565250576,0.9967273529144506
34,0.00034121939024308684,0.9970685723046937
35,0.0002841731750637205,0.9973527454797574
36,0.00024891919604259135,0.9976016646758
37,0.0002204084328713324,0.9978220731086713
38,0.00020482098180166528,0.998026894090473
39,0.00020270361995525316,0.9982295977104282
40,0.0001863835535186074,0.9984159812639468
41,0.00015731313915353962,0.9985732944031004
42,0.00014781500090248586,0.9987211094040028
43,0.0001277887444421972,0.998848898148445
44,0.00011880747936122207,0.9989677056278062
45,0.00010545581233941047,0.9990731614401457
46,9.230726766525728e-05,0.999165468707811
47,9.120585827532179e-05,0.9992566745660862
48,7.857642090797e-05,0.9993352509869942
49,7.533006538772313e-05,0.9994105810523819
50,7.084502184198669e-05,0.9994814260742239
51,6.504407355439953e-05,0.9995464701477783
52,5.971222376820246e-05,0.9996061823715465
53,5.136427385103735e-05,0.9996575466453975
54,5.089977439538803e-05,0.999708446419793
55,4.544038236168378e-05,0.9997538868021546
56,4.1008733566239075e-05,0.9997948955357209
57,3.546504249846652e-05,0.9998303605782194
58,3.2413686957402166e-05,0.9998627742651768
59,3.081806037657287e-05,0.9998935923255533
60,2.8266201848479076e-05,0.9999218585274018
61,2.5803174021691165e-05,0.9999476617014235
62,1.9112321049754794e-05,0.9999667740224732
63,1.7377933197310008e-05,0.9999841519556706
64,1.5848044329355065e-05,0.9999999999999999
